priority_rank,business_name,city,state,phone,google_rating,google_review_count,priority_tier,priority_score,mockup_status,loom_status,loom_link,text_status,text_copy,call_timing,call_status,call_opening,angle,notes,source,mockup_url
1,Teca Solar Inc,Coral Springs,FL,(561) 783-5278,4.9,588,A,8,todo,todo,,todo,Hey Teca Solar Inc — Bryan here. Made you a quick 60-second video on how your Google reviews could be turned into a simple site: [Loom link],1-2 hours after text or next day,todo,Bryan here — I texted over a 60-second video earlier about Teca Solar Inc. Did you get a chance to see it?,"588 Google reviews, 4.9 rating, no website listed; strong 'you're already trusted, the site should reflect that' pitch","Use 45-90 second Loom with review count, service area, phone CTA, and one specific local observation.",https://verifiedpoolpros.com/listing/teca-solar-inc-coral-springs-fl,/home/shark/jawsai911-site-fixed/pool-hot-leads/leads/teca-solar-inc.html
2,Jd Pool Clean Inc.,Port St Lucie,FL,(772) 201-2958,4.9,429,A,8,todo,todo,,todo,Hey Jd Pool Clean Inc. — Bryan here. Made you a quick 60-second video on how your Google reviews could be turned into a simple site: [Loom link],1-2 hours after text or next day,todo,Bryan here — I texted over a 60-second video earlier about Jd Pool Clean Inc.. Did you get a chance to see it?,"429 Google reviews, 4.9 rating, no website listed; strong 'you're already trusted, the site should reflect that' pitch","Use 45-90 second Loom with review count, service area, phone CTA, and one specific local observation.",https://verifiedpoolpros.com/listing/jd-pool-clean-inc-port-st-lucie-fl,/home/shark/jawsai911-site-fixed/pool-hot-leads/leads/jd-pool-clean-inc.html
3,"J.m.c Pool Construction, Inc.",Coral Springs,FL,(561) 866-5913,4.9,200,A,8,todo,todo,,todo,"Hey J.m.c Pool Construction, Inc. — Bryan here. Made you a quick 60-second video on how your Google reviews could be turned into a simple site: [Loom link]",1-2 hours after text or next day,todo,"Bryan here — I texted over a 60-second video earlier about J.m.c Pool Construction, Inc.. Did you get a chance to see it?","200 Google reviews, 4.9 rating, no website listed; strong 'you're already trusted, the site should reflect that' pitch","Use 45-90 second Loom with review count, service area, phone CTA, and one specific local observation.",https://verifiedpoolpros.com/listing/j-m-c-pool-construction-inc-coral-springs-fl,/home/shark/jawsai911-site-fixed/pool-hot-leads/leads/j-m-c-pool-construction-inc.html
4,"Tampapoolpro.com, Llc",Tampa,FL,(352) 467-9383,5.0,132,A,7,todo,todo,,todo,"Hey Tampapoolpro.com, Llc — Bryan here. Made you a quick 60-second video on how your Google reviews could be turned into a simple site: [Loom link]",1-2 hours after text or next day,todo,"Bryan here — I texted over a 60-second video earlier about Tampapoolpro.com, Llc. Did you get a chance to see it?","132 Google reviews, 5.0 rating, no website listed; strong 'you're already trusted, the site should reflect that' pitch","Use 45-90 second Loom with review count, service area, phone CTA, and one specific local observation.",https://verifiedpoolpros.com/listing/tampapoolpro-com-llc-tampa-fl,/home/shark/jawsai911-site-fixed/pool-hot-leads/leads/tampapoolpro-com-llc.html
5,"Pool Executives, Llc",Fort Myers,FL,(239) 542-2421,5.0,128,A,7,todo,todo,,todo,"Hey Pool Executives, Llc — Bryan here. Made you a quick 60-second video on how your Google reviews could be turned into a simple site: [Loom link]",1-2 hours after text or next day,todo,"Bryan here — I texted over a 60-second video earlier about Pool Executives, Llc. Did you get a chance to see it?","128 Google reviews, 5.0 rating, no website listed; strong 'you're already trusted, the site should reflect that' pitch","Use 45-90 second Loom with review count, service area, phone CTA, and one specific local observation.",https://verifiedpoolpros.com/listing/pool-executives-llc-fort-myers-fl,/home/shark/jawsai911-site-fixed/pool-hot-leads/leads/pool-executives-llc.html
6,Aquatica Pools & Spas Llc,Jacksonville,FL,(904) 619-3281,5.0,125,A,7,todo,todo,,todo,Hey Aquatica Pools & Spas Llc — Bryan here. Made you a quick 60-second video on how your Google reviews could be turned into a simple site: [Loom link],1-2 hours after text or next day,todo,Bryan here — I texted over a 60-second video earlier about Aquatica Pools & Spas Llc. Did you get a chance to see it?,"125 Google reviews, 5.0 rating, no website listed; strong 'you're already trusted, the site should reflect that' pitch","Use 45-90 second Loom with review count, service area, phone CTA, and one specific local observation.",https://verifiedpoolpros.com/listing/aquatica-pools-spas-llc-jacksonville-fl,/home/shark/jawsai911-site-fixed/pool-hot-leads/leads/aquatica-pools-spas-llc.html
7,Gates Melody Pool Service Llc,Pompano Beach,FL,(954) 742-3316,4.8,125,A,7,todo,todo,,todo,Hey Gates Melody Pool Service Llc — Bryan here. Made you a quick 60-second video on how your Google reviews could be turned into a simple site: [Loom link],1-2 hours after text or next day,todo,Bryan here — I texted over a 60-second video earlier about Gates Melody Pool Service Llc. Did you get a chance to see it?,"125 Google reviews, 4.8 rating, no website listed; strong 'you're already trusted, the site should reflect that' pitch","Use 45-90 second Loom with review count, service area, phone CTA, and one specific local observation.",https://verifiedpoolpros.com/listing/gates-melody-pool-service-llc-pompano-beach-fl,/home/shark/jawsai911-site-fixed/pool-hot-leads/leads/gates-melody-pool-service-llc.html
8,Tgs Pools & Pavers,Port St Lucie,FL,(772) 400-2424,5.0,122,A,7,todo,todo,,todo,Hey Tgs Pools & Pavers — Bryan here. Made you a quick 60-second video on how your Google reviews could be turned into a simple site: [Loom link],1-2 hours after text or next day,todo,Bryan here — I texted over a 60-second video earlier about Tgs Pools & Pavers. Did you get a chance to see it?,"122 Google reviews, 5.0 rating, no website listed; strong 'you're already trusted, the site should reflect that' pitch","Use 45-90 second Loom with review count, service area, phone CTA, and one specific local observation.",https://verifiedpoolpros.com/listing/tgs-pools-pavers-port-st-lucie-fl,/home/shark/jawsai911-site-fixed/pool-hot-leads/leads/tgs-pools-pavers.html
9,Sunrise Pools Of Naples Inc,Naples,FL,(239) 631-5502,5.0,106,A,7,todo,todo,,todo,Hey Sunrise Pools Of Naples Inc — Bryan here. Made you a quick 60-second video on how your Google reviews could be turned into a simple site: [Loom link],1-2 hours after text or next day,todo,Bryan here — I texted over a 60-second video earlier about Sunrise Pools Of Naples Inc. Did you get a chance to see it?,"106 Google reviews, 5.0 rating, no website listed; strong 'you're already trusted, the site should reflect that' pitch","Use 45-90 second Loom with review count, service area, phone CTA, and one specific local observation.",https://verifiedpoolpros.com/listing/sunrise-pools-of-naples-inc-naples-fl,/home/shark/jawsai911-site-fixed/pool-hot-leads/leads/sunrise-pools-of-naples-inc.html
11,Florida Entry Builders LLC,Miami,FL,(786) 973-5553,5.0,78,A,6,todo,todo,,todo,78 five-star reviews and no website collecting them. Quick 30-sec SuperSite demo for Florida Entry Builders.,1-2 hours after text or next day,todo,"Hey, this is Bryan with JAWSAI. Florida Entry Builders is at 5.0 with 78 reviews. Strong work - no website turning it into new jobs. I put together a quick SuperSite demo - reviews front and center, after-hours capture, automatic follow-up. Takes about 30 seconds.","Pull top 3 from Google \Florida Entry Builders Miami\""; photos/logo from Google profile.""",https://walkintubexpertsflorida.com/fl/miami/florida-entry-builders-llc,/home/shark/jawsai911-site-fixed/hot-leads/leads/florida-entry-builders-llc.html,
